Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.07397	0.04933	0.11181	5.271	0.917	0.174	0.478	0.522	11	12
0.07098	0.04308	0.10719	5.271	0.917	0.174	0.478	0.522	11	12
0.06817	0.04269	0.10460	5.271	0.917	0.174	0.478	0.522	11	12
0.06543	0.04150	0.09994	4.423	0.833	0.188	0.435	0.565	10	13
0.06276	0.03847	0.09790	3.696	0.750	0.203	0.391	0.609	9	14
0.06014	0.03781	0.08804	3.696	0.750	0.203	0.391	0.609	9	14
0.05794	0.03732	0.08282	3.067	0.667	0.217	0.348	0.652	8	15
0.05594	0.03673	0.07689	3.067	0.667	0.217	0.348	0.652	8	15
0.05408	0.03416	0.07656	3.067	0.667	0.217	0.348	0.652	8	15
0.05221	0.03361	0.07240	2.516	0.583	0.232	0.304	0.696	7	16
0.05044	0.03166	0.07031	2.029	0.500	0.246	0.261	0.739	6	17
0.04731	0.03064	0.06999	1.437	0.417	0.290	0.200	0.800	5	20
0.04362	0.02952	0.06217	1.211	0.333	0.275	0.174	0.826	4	19
0.04220	0.02941	0.05975	0.863	0.250	0.290	0.130	0.870	3	20
0.04085	0.02878	0.05869	0.548	0.167	0.304	0.087	0.913	2	21
0.03697	0.02537	0.05736	0.205	0.083	0.406	0.034	0.966	1	28
0.03178	0.02521	0.04269	0.000	0.000	0.333	0.000	1.000	0	23
0.03038	0.02043	0.04150	0.000	0.000	0.348	0.000	1.000	0	24
0.02990	0.02043	0.03847	0.000	0.000	0.333	0.000	1.000	0	23
0.02872	0.01997	0.03781	0.000	0.000	0.348	0.000	1.000	0	24
0.02832	0.01997	0.03732	0.000	0.000	0.333	0.000	1.000	0	23
0.02755	0.01954	0.03673	0.000	0.000	0.333	0.000	1.000	0	23
0.02678	0.01909	0.03416	0.000	0.000	0.333	0.000	1.000	0	23
0.02607	0.01772	0.03361	0.000	0.000	0.333	0.000	1.000	0	23
0.02536	0.01726	0.03166	0.000	0.000	0.333	0.000	1.000	0	23
0.02471	0.01688	0.03121	0.000	0.000	0.333	0.000	1.000	0	23
0.02435	0.01600	0.03121	0.000	0.000	0.348	0.000	1.000	0	24
0.02337	0.01537	0.03064	0.000	0.000	0.333	0.000	1.000	0	23
0.02210	0.01183	0.02952	0.000	0.000	0.348	0.000	1.000	0	24
0.02178	0.01183	0.02941	0.000	0.000	0.333	0.000	1.000	0	23
0.02060	0.01132	0.02878	0.000	0.000	0.348	0.000	1.000	0	24
0.02024	0.01132	0.02864	0.000	0.000	0.333	0.000	1.000	0	23
0.01944	0.01027	0.02817	0.000	0.000	0.333	0.000	1.000	0	23
0.01904	0.00978	0.02817	0.000	0.000	0.348	0.000	1.000	0	24
0.01783	0.00949	0.02785	0.000	0.000	0.333	0.000	1.000	0	23
0.01701	0.00895	0.02719	0.000	0.000	0.333	0.000	1.000	0	23
0.01619	0.00824	0.02582	0.000	0.000	0.333	0.000	1.000	0	23
0.01539	0.00743	0.02537	0.000	0.000	0.333	0.000	1.000	0	23
0.01458	0.00686	0.02521	0.000	0.000	0.333	0.000	1.000	0	23
0.01346	0.00642	0.02050	0.000	0.000	0.348	0.000	1.000	0	24
0.01346	0.00642	0.02050	0.000	0.000	0.348	0.000	1.000	0	24
0.01246	0.00451	0.02004	0.000	0.000	0.333	0.000	1.000	0	23
0.01212	0.00417	0.02004	0.000	0.000	0.348	0.000	1.000	0	24
0.01107	0.00379	0.01954	0.000	0.000	0.333	0.000	1.000	0	23
0.01038	0.00362	0.01909	0.000	0.000	0.333	0.000	1.000	0	23
0.00970	0.00340	0.01772	0.000	0.000	0.333	0.000	1.000	0	23
0.00905	0.00286	0.01726	0.000	0.000	0.333	0.000	1.000	0	23
0.00841	0.00262	0.01688	0.000	0.000	0.333	0.000	1.000	0	23
0.00778	0.00231	0.01600	0.000	0.000	0.333	0.000	1.000	0	23
0.00715	0.00154	0.01537	0.000	0.000	0.333	0.000	1.000	0	23
0.00652	0.00092	0.01185	0.000	0.000	0.333	0.000	1.000	0	23
