Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.34980	0.15936	0.39546	32.745	0.712	0.022	0.857	0.143	42	7
0.33695	0.11244	0.39546	30.017	0.746	0.025	0.846	0.154	44	8
0.32393	0.09204	0.39546	24.559	0.763	0.031	0.818	0.182	45	10
0.31068	0.09060	0.39529	21.830	0.678	0.031	0.800	0.200	40	10
0.30626	0.08496	0.39529	19.846	0.678	0.034	0.784	0.216	40	11
0.30012	0.08221	0.39525	17.737	0.661	0.037	0.765	0.235	39	12
0.29590	0.08069	0.39525	16.373	0.661	0.040	0.750	0.250	39	13
0.28983	0.07979	0.39522	14.813	0.644	0.043	0.731	0.269	38	14
0.28370	0.07614	0.39519	13.462	0.627	0.047	0.712	0.288	37	15
0.27951	0.06159	0.39519	12.621	0.627	0.050	0.698	0.302	37	16
0.27086	0.06142	0.39513	11.236	0.593	0.053	0.673	0.327	35	17
0.25638	0.05802	0.39491	9.399	0.525	0.056	0.633	0.367	31	18
0.25240	0.05725	0.39491	8.905	0.525	0.059	0.620	0.380	31	19
0.24259	0.05704	0.39462	7.914	0.492	0.062	0.592	0.408	29	20
0.23884	0.05485	0.39462	7.537	0.492	0.065	0.580	0.420	29	21
0.23520	0.05337	0.39462	7.194	0.492	0.068	0.569	0.431	29	22
0.22171	0.05210	0.39420	6.698	0.458	0.068	0.551	0.449	27	22
0.21830	0.05146	0.39420	6.407	0.458	0.071	0.540	0.460	27	23
0.20769	0.05022	0.39399	6.169	0.441	0.071	0.531	0.469	26	23
0.20065	0.04900	0.39237	5.685	0.424	0.075	0.510	0.490	25	24
0.19362	0.04791	0.39216	5.685	0.424	0.075	0.510	0.490	25	24
0.18659	0.04740	0.39186	5.685	0.424	0.075	0.510	0.490	25	24
0.17955	0.04701	0.39091	5.239	0.407	0.078	0.490	0.510	24	25
0.17252	0.04644	0.38722	4.828	0.390	0.081	0.469	0.531	23	26
0.16556	0.04602	0.38622	4.447	0.373	0.084	0.449	0.551	22	27
0.15860	0.04559	0.38360	4.093	0.356	0.087	0.429	0.571	21	28
0.15167	0.04383	0.37410	4.093	0.356	0.087	0.429	0.571	21	28
0.14491	0.04279	0.36750	3.764	0.339	0.090	0.408	0.592	20	29
0.13828	0.04250	0.36577	3.764	0.339	0.090	0.408	0.592	20	29
0.13167	0.04224	0.36180	3.764	0.339	0.090	0.408	0.592	20	29
0.12515	0.04200	0.36038	3.456	0.322	0.093	0.388	0.612	19	30
0.11864	0.04170	0.35715	3.169	0.305	0.096	0.367	0.633	18	31
0.10803	0.03973	0.35693	2.651	0.288	0.109	0.327	0.673	17	35
0.09293	0.03973	0.29030	2.646	0.271	0.102	0.327	0.673	16	33
0.08780	0.03870	0.28763	2.408	0.254	0.106	0.306	0.694	15	34
0.08271	0.03818	0.24778	2.183	0.237	0.109	0.286	0.714	14	35
0.07843	0.03803	0.21432	1.971	0.220	0.112	0.265	0.735	13	36
0.07481	0.03703	0.21286	1.770	0.203	0.115	0.245	0.755	12	37
0.07121	0.03684	0.16940	1.580	0.186	0.118	0.224	0.776	11	38
0.06850	0.03642	0.16783	1.399	0.169	0.121	0.204	0.796	10	39
0.06582	0.03632	0.16658	1.228	0.153	0.124	0.184	0.816	9	40
0.06255	0.03438	0.16410	1.040	0.136	0.130	0.160	0.840	8	42
0.06047	0.03438	0.15936	0.910	0.119	0.130	0.143	0.857	7	42
0.05791	0.03386	0.15257	0.910	0.119	0.130	0.143	0.857	7	42
0.05504	0.03345	0.11651	0.744	0.102	0.137	0.120	0.880	6	44
0.05379	0.03345	0.11244	0.620	0.085	0.137	0.102	0.898	5	44
0.05175	0.03225	0.10381	0.606	0.085	0.140	0.100	0.900	5	45
0.05032	0.03215	0.09869	0.606	0.085	0.140	0.100	0.900	5	45
0.04933	0.03215	0.09204	0.485	0.068	0.140	0.082	0.918	4	45
0.04778	0.03184	0.09060	0.475	0.068	0.143	0.080	0.920	4	46
0.04691	0.03184	0.08496	0.356	0.051	0.143	0.061	0.939	3	46
0.04582	0.03164	0.08221	0.356	0.051	0.143	0.061	0.939	3	46
0.04478	0.03143	0.08069	0.356	0.051	0.143	0.061	0.939	3	46
0.04377	0.03132	0.07979	0.356	0.051	0.143	0.061	0.939	3	46
0.04060	0.02878	0.07614	0.292	0.051	0.174	0.051	0.949	3	56
0.03653	0.02846	0.04900	0.232	0.034	0.146	0.041	0.959	2	47
0.03610	0.02771	0.04791	0.232	0.034	0.146	0.041	0.959	2	47
0.03568	0.02751	0.04740	0.232	0.034	0.146	0.041	0.959	2	47
0.01168	0.00326	0.04701	0.203	0.186	0.919	0.036	0.964	11	296
