Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.05576	0.01390	0.08024	4.000	1.000	0.250	0.400	0.600	8	12
0.05576	0.01390	0.08024	4.000	1.000	0.250	0.400	0.600	8	12
0.05097	0.01354	0.08007	2.769	0.750	0.271	0.316	0.684	6	13
0.04742	0.01275	0.07973	2.143	0.625	0.292	0.263	0.737	5	14
0.04389	0.01253	0.07859	1.600	0.500	0.312	0.211	0.789	4	15
0.04039	0.01205	0.07845	1.600	0.500	0.312	0.211	0.789	4	15
0.03676	0.00961	0.07829	1.600	0.500	0.312	0.211	0.789	4	15
0.03310	0.00871	0.07667	1.600	0.500	0.312	0.211	0.789	4	15
0.02951	0.00851	0.07381	1.600	0.500	0.312	0.211	0.789	4	15
0.02600	0.00709	0.07141	1.125	0.375	0.333	0.158	0.842	3	16
0.02257	0.00624	0.06367	0.706	0.250	0.354	0.105	0.895	2	17
0.01950	0.00523	0.06182	0.706	0.250	0.354	0.105	0.895	2	17
0.01646	0.00406	0.04385	0.706	0.250	0.354	0.105	0.895	2	17
0.01435	0.00387	0.03457	0.333	0.125	0.375	0.053	0.947	1	18
0.01138	0.00245	0.03340	0.286	0.125	0.438	0.045	0.955	1	21
0.00848	0.00245	0.01685	0.000	0.000	0.396	0.000	1.000	0	19
0.00772	0.00231	0.01399	0.000	0.000	0.396	0.000	1.000	0	19
0.00713	0.00151	0.01399	0.000	0.000	0.438	0.000	1.000	0	21
0.00641	0.00151	0.01354	0.000	0.000	0.396	0.000	1.000	0	19
0.00576	0.00119	0.01275	0.000	0.000	0.396	0.000	1.000	0	19
0.00492	0.00081	0.01253	0.000	0.000	0.417	0.000	1.000	0	20
0.00452	0.00081	0.01205	0.000	0.000	0.396	0.000	1.000	0	19
0.00360	0.00054	0.00961	0.000	0.000	0.438	0.000	1.000	0	21
0.00316	0.00045	0.00871	0.000	0.000	0.438	0.000	1.000	0	21
0.00288	0.00045	0.00851	0.000	0.000	0.417	0.000	1.000	0	20
0.00248	0.00036	0.00709	0.000	0.000	0.417	0.000	1.000	0	20
0.00214	0.00033	0.00624	0.000	0.000	0.417	0.000	1.000	0	20
0.00192	0.00033	0.00523	0.000	0.000	0.396	0.000	1.000	0	19
0.00122	0.00001	0.00406	0.000	0.000	0.542	0.000	1.000	0	26
0.00110	0.00001	0.00387	0.000	0.000	0.521	0.000	1.000	0	25
0.00099	0.00001	0.00368	0.000	0.000	0.500	0.000	1.000	0	24
0.00099	0.00001	0.00368	0.000	0.000	0.500	0.000	1.000	0	24
0.00075	0.00001	0.00250	0.000	0.000	0.458	0.000	1.000	0	22
0.00075	0.00001	0.00250	0.000	0.000	0.458	0.000	1.000	0	22
0.00057	0.00001	0.00231	0.000	0.000	0.417	0.000	1.000	0	20
0.00048	0.00001	0.00154	0.000	0.000	0.396	0.000	1.000	0	19
