Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.22550	0.14179	0.25859	11.832	0.818	0.069	0.675	0.325	27	13
0.22321	0.13183	0.25859	10.987	0.818	0.074	0.659	0.341	27	14
0.20984	0.09022	0.25859	10.682	0.909	0.085	0.652	0.348	30	16
0.20111	0.08703	0.25852	8.378	0.758	0.090	0.595	0.405	25	17
0.19055	0.08668	0.25822	7.037	0.636	0.090	0.553	0.447	21	17
0.18785	0.08542	0.25822	6.646	0.636	0.096	0.538	0.462	21	18
0.18138	0.08236	0.25811	5.697	0.576	0.101	0.500	0.500	19	19
0.17874	0.07860	0.25811	5.412	0.576	0.106	0.487	0.513	19	20
0.17188	0.07659	0.25739	5.127	0.545	0.106	0.474	0.526	18	20
0.16936	0.07383	0.25739	4.883	0.545	0.112	0.462	0.538	18	21
0.15628	0.04800	0.25739	4.747	0.606	0.128	0.455	0.545	20	24
0.13514	0.04713	0.23961	4.143	0.485	0.117	0.421	0.579	16	22
0.12990	0.04056	0.23467	3.715	0.455	0.122	0.395	0.605	15	23
0.12474	0.03859	0.23348	3.715	0.455	0.122	0.395	0.605	15	23
0.11730	0.03414	0.22933	3.190	0.424	0.133	0.359	0.641	14	25
0.11436	0.03414	0.22579	2.962	0.394	0.133	0.342	0.658	13	25
0.10931	0.03387	0.22194	2.962	0.394	0.133	0.342	0.658	13	25
0.10432	0.03247	0.21654	2.629	0.364	0.138	0.316	0.684	12	26
0.09946	0.03176	0.20691	2.321	0.333	0.144	0.289	0.711	11	27
0.09483	0.03090	0.19705	2.035	0.303	0.149	0.263	0.737	10	28
0.09045	0.03062	0.18383	1.768	0.273	0.154	0.237	0.763	9	29
0.08640	0.03005	0.18269	1.768	0.273	0.154	0.237	0.763	9	29
0.08231	0.02723	0.16938	1.768	0.273	0.154	0.237	0.763	9	29
0.07855	0.02642	0.16518	1.519	0.242	0.160	0.211	0.789	8	30
0.07486	0.02511	0.15602	1.286	0.212	0.165	0.184	0.816	7	31
0.07141	0.02499	0.15560	1.286	0.212	0.165	0.184	0.816	7	31
0.06796	0.02438	0.15530	1.286	0.212	0.165	0.184	0.816	7	31
0.06450	0.02391	0.15015	1.286	0.212	0.165	0.184	0.816	7	31
0.06113	0.02225	0.14838	1.068	0.182	0.170	0.158	0.842	6	32
0.05781	0.02190	0.14179	0.863	0.152	0.176	0.132	0.868	5	33
0.05465	0.02173	0.13183	0.863	0.152	0.176	0.132	0.868	5	33
0.05175	0.02159	0.11308	0.863	0.152	0.176	0.132	0.868	5	33
0.04931	0.02053	0.10285	0.863	0.152	0.176	0.132	0.868	5	33
0.04711	0.01937	0.09971	0.863	0.152	0.176	0.132	0.868	5	33
0.04499	0.01913	0.09482	0.670	0.121	0.181	0.105	0.895	4	34
0.04299	0.01880	0.09022	0.488	0.091	0.186	0.079	0.921	3	35
0.04111	0.01869	0.08703	0.316	0.061	0.191	0.053	0.947	2	36
0.03929	0.01796	0.08668	0.316	0.061	0.191	0.053	0.947	2	36
0.03746	0.01717	0.08542	0.316	0.061	0.191	0.053	0.947	2	36
0.03563	0.01587	0.08236	0.316	0.061	0.191	0.053	0.947	2	36
0.03388	0.01576	0.07860	0.316	0.061	0.191	0.053	0.947	2	36
0.03222	0.01541	0.07659	0.316	0.061	0.191	0.053	0.947	2	36
0.03060	0.01530	0.07383	0.316	0.061	0.191	0.053	0.947	2	36
0.02906	0.01515	0.06205	0.316	0.061	0.191	0.053	0.947	2	36
0.02780	0.01426	0.05790	0.316	0.061	0.191	0.053	0.947	2	36
0.02664	0.01371	0.05531	0.154	0.030	0.197	0.026	0.974	1	37
0.02553	0.01304	0.04807	0.154	0.030	0.197	0.026	0.974	1	37
0.00671	0.00002	0.04807	0.070	0.061	0.867	0.012	0.988	2	163
0.00013	0.00002	0.00051	0.000	0.000	0.511	0.000	1.000	0	96
0.00013	0.00002	0.00051	0.000	0.000	0.511	0.000	1.000	0	96
0.00013	0.00002	0.00051	0.000	0.000	0.511	0.000	1.000	0	96
0.00013	0.00002	0.00051	0.000	0.000	0.511	0.000	1.000	0	96
0.00013	0.00002	0.00049	0.000	0.000	0.505	0.000	1.000	0	95
0.00013	0.00002	0.00047	0.000	0.000	0.500	0.000	1.000	0	94
0.00012	0.00002	0.00046	0.000	0.000	0.489	0.000	1.000	0	92
0.00011	0.00002	0.00043	0.000	0.000	0.484	0.000	1.000	0	91
0.00011	0.00002	0.00042	0.000	0.000	0.473	0.000	1.000	0	89
0.00010	0.00002	0.00040	0.000	0.000	0.463	0.000	1.000	0	87
0.00009	0.00002	0.00033	0.000	0.000	0.447	0.000	1.000	0	84
0.00009	0.00002	0.00033	0.000	0.000	0.447	0.000	1.000	0	84
0.00009	0.00002	0.00033	0.000	0.000	0.447	0.000	1.000	0	84
0.00008	0.00002	0.00031	0.000	0.000	0.436	0.000	1.000	0	82
0.00008	0.00002	0.00026	0.000	0.000	0.431	0.000	1.000	0	81
0.00008	0.00002	0.00026	0.000	0.000	0.431	0.000	1.000	0	81
0.00008	0.00002	0.00026	0.000	0.000	0.431	0.000	1.000	0	81
0.00008	0.00002	0.00026	0.000	0.000	0.431	0.000	1.000	0	81
0.00008	0.00002	0.00026	0.000	0.000	0.431	0.000	1.000	0	81
0.00008	0.00002	0.00026	0.000	0.000	0.431	0.000	1.000	0	81
0.00008	0.00002	0.00026	0.000	0.000	0.431	0.000	1.000	0	81
0.00008	0.00002	0.00024	0.000	0.000	0.420	0.000	1.000	0	79
0.00008	0.00002	0.00024	0.000	0.000	0.420	0.000	1.000	0	79
0.00008	0.00002	0.00024	0.000	0.000	0.420	0.000	1.000	0	79
0.00008	0.00002	0.00024	0.000	0.000	0.420	0.000	1.000	0	79
0.00008	0.00002	0.00024	0.000	0.000	0.420	0.000	1.000	0	79
0.00007	0.00002	0.00022	0.000	0.000	0.415	0.000	1.000	0	78
0.00007	0.00002	0.00022	0.000	0.000	0.415	0.000	1.000	0	78
0.00007	0.00002	0.00020	0.000	0.000	0.410	0.000	1.000	0	77
0.00007	0.00002	0.00020	0.000	0.000	0.410	0.000	1.000	0	77
0.00007	0.00002	0.00019	0.000	0.000	0.404	0.000	1.000	0	76
0.00007	0.00002	0.00018	0.000	0.000	0.399	0.000	1.000	0	75
0.00007	0.00002	0.00018	0.000	0.000	0.399	0.000	1.000	0	75
0.00007	0.00002	0.00018	0.000	0.000	0.399	0.000	1.000	0	75
0.00007	0.00002	0.00018	0.000	0.000	0.399	0.000	1.000	0	75
0.00007	0.00002	0.00018	0.000	0.000	0.399	0.000	1.000	0	75
0.00007	0.00002	0.00018	0.000	0.000	0.394	0.000	1.000	0	74
0.00007	0.00002	0.00018	0.000	0.000	0.394	0.000	1.000	0	74
0.00007	0.00002	0.00018	0.000	0.000	0.394	0.000	1.000	0	74
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00016	0.000	0.000	0.372	0.000	1.000	0	70
0.00006	0.00002	0.00015	0.000	0.000	0.362	0.000	1.000	0	68
0.00006	0.00002	0.00015	0.000	0.000	0.351	0.000	1.000	0	66
