Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.04330	0.03222	0.06877	3.692	0.889	0.241	0.381	0.619	8	13
0.04155	0.03199	0.06725	3.000	0.778	0.259	0.333	0.667	7	14
0.03982	0.03078	0.06216	3.000	0.778	0.259	0.333	0.667	7	14
0.03815	0.02717	0.06122	3.000	0.778	0.259	0.333	0.667	7	14
0.03643	0.02506	0.05044	2.400	0.667	0.278	0.286	0.714	6	15
0.03516	0.02374	0.04796	1.875	0.556	0.296	0.238	0.762	5	16
0.03399	0.02355	0.04387	1.412	0.444	0.315	0.190	0.810	4	17
0.03302	0.02342	0.04187	1.412	0.444	0.315	0.190	0.810	4	17
0.03204	0.02128	0.03987	1.412	0.444	0.315	0.190	0.810	4	17
0.03110	0.02021	0.03825	1.412	0.444	0.315	0.190	0.810	4	17
0.03056	0.01912	0.03825	1.333	0.444	0.333	0.182	0.818	4	18
0.02968	0.01898	0.03824	1.333	0.444	0.333	0.182	0.818	4	18
0.02834	0.01856	0.03720	1.000	0.333	0.333	0.143	0.857	3	18
0.02738	0.01702	0.03581	0.632	0.222	0.352	0.095	0.905	2	19
0.02644	0.01611	0.03569	0.632	0.222	0.352	0.095	0.905	2	19
0.02540	0.01369	0.03552	0.300	0.111	0.370	0.048	0.952	1	20
0.02429	0.01234	0.03450	0.300	0.111	0.370	0.048	0.952	1	20
0.02294	0.00617	0.03439	0.300	0.111	0.370	0.048	0.952	1	20
0.01007	0.00000	0.03368	0.279	0.222	0.796	0.044	0.956	2	43
0.00237	0.00000	0.01702	0.207	0.111	0.537	0.033	0.967	1	29
