Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.26482	0.22501	0.28520	12.954	0.682	0.053	0.698	0.302	30	13
0.26340	0.22397	0.28350	11.628	0.659	0.057	0.674	0.326	29	14
0.26182	0.21578	0.28273	10.479	0.636	0.061	0.651	0.349	28	15
0.26024	0.21462	0.28257	10.479	0.636	0.061	0.651	0.349	28	15
0.25863	0.21342	0.28239	10.479	0.636	0.061	0.651	0.349	28	15
0.25683	0.20486	0.28227	9.473	0.614	0.065	0.628	0.372	27	16
0.25463	0.18787	0.28150	9.473	0.614	0.065	0.628	0.372	27	16
0.25241	0.18598	0.28093	8.586	0.591	0.069	0.605	0.395	26	17
0.25003	0.17881	0.28059	8.586	0.591	0.069	0.605	0.395	26	17
0.24765	0.17809	0.27934	7.797	0.568	0.073	0.581	0.419	25	18
0.24527	0.17679	0.27880	7.797	0.568	0.073	0.581	0.419	25	18
0.24279	0.17216	0.27817	7.797	0.568	0.073	0.581	0.419	25	18
0.24014	0.16463	0.27726	7.091	0.545	0.077	0.558	0.442	24	19
0.23724	0.15218	0.27678	6.456	0.523	0.081	0.535	0.465	23	20
0.23424	0.14804	0.27524	5.881	0.500	0.085	0.512	0.488	22	21
0.23080	0.12702	0.27468	5.358	0.477	0.089	0.488	0.512	21	22
0.22841	0.12602	0.27468	5.125	0.477	0.093	0.477	0.523	21	23
0.22384	0.12422	0.27415	4.444	0.432	0.097	0.442	0.558	19	24
0.22031	0.12255	0.27300	4.444	0.432	0.097	0.442	0.558	19	24
0.21673	0.11870	0.27235	4.444	0.432	0.097	0.442	0.558	19	24
0.21314	0.11814	0.27081	4.042	0.409	0.101	0.419	0.581	18	25
0.20955	0.11668	0.27004	3.670	0.386	0.105	0.395	0.605	17	26
0.20586	0.11104	0.26954	3.670	0.386	0.105	0.395	0.605	17	26
0.20202	0.10438	0.26941	3.670	0.386	0.105	0.395	0.605	17	26
0.19812	0.10171	0.26881	3.327	0.364	0.109	0.372	0.628	16	27
0.19404	0.09336	0.26853	3.007	0.341	0.113	0.349	0.651	15	28
0.18986	0.08894	0.26679	3.007	0.341	0.113	0.349	0.651	15	28
0.18570	0.08805	0.26544	3.007	0.341	0.113	0.349	0.651	15	28
0.17307	0.07883	0.26193	2.897	0.364	0.126	0.340	0.660	16	31
0.16079	0.07840	0.24954	2.433	0.295	0.121	0.302	0.698	13	30
0.15675	0.07559	0.24410	2.173	0.273	0.126	0.279	0.721	12	31
0.15279	0.07375	0.24198	2.173	0.273	0.126	0.279	0.721	12	31
0.14882	0.07156	0.23585	1.930	0.250	0.130	0.256	0.744	11	32
0.14697	0.06743	0.23585	1.871	0.250	0.134	0.250	0.750	11	33
0.14093	0.06485	0.23386	1.701	0.227	0.134	0.233	0.767	10	33
0.13535	0.06467	0.23353	1.444	0.205	0.142	0.205	0.795	9	35
0.13307	0.06467	0.23232	1.283	0.182	0.142	0.186	0.814	8	35
0.12024	0.05420	0.23098	1.263	0.205	0.162	0.184	0.816	9	40
0.07869	0.02616	0.18787	0.761	0.182	0.239	0.119	0.881	8	59
0.04180	0.01732	0.08091	0.561	0.114	0.202	0.091	0.909	5	50
0.03408	0.01692	0.06022	0.401	0.068	0.170	0.067	0.933	3	42
0.03200	0.01682	0.05680	0.274	0.045	0.166	0.047	0.953	2	41
0.03105	0.01595	0.05488	0.274	0.045	0.166	0.047	0.953	2	41
0.02371	0.00616	0.05420	0.272	0.068	0.251	0.046	0.954	3	62
0.01128	0.00334	0.02742	0.259	0.068	0.263	0.044	0.956	3	65
0.00396	0.00074	0.01419	0.189	0.068	0.360	0.033	0.967	3	89
0.00108	0.00015	0.00284	0.142	0.045	0.320	0.025	0.975	2	79
0.00044	0.00004	0.00111	0.083	0.023	0.275	0.014	0.986	1	68
0.00033	0.00000	0.00090	0.076	0.023	0.300	0.013	0.987	1	74
