Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.13396	0.11479	0.14572	3.301	0.818	0.248	0.237	0.763	9	29
0.13345	0.11411	0.14572	3.191	0.818	0.256	0.231	0.769	9	30
0.13199	0.10269	0.14509	2.836	0.727	0.256	0.211	0.789	8	30
0.13085	0.10155	0.14471	2.836	0.727	0.256	0.211	0.789	8	30
0.09798	0.01545	0.14411	1.899	0.909	0.479	0.152	0.848	10	56
0.06715	0.01464	0.11719	1.612	0.455	0.282	0.132	0.868	5	33
0.06444	0.01436	0.11620	1.251	0.364	0.291	0.105	0.895	4	34
0.06074	0.01335	0.11620	1.150	0.364	0.316	0.098	0.902	4	37
0.05371	0.01274	0.11411	0.591	0.182	0.308	0.053	0.947	2	36
0.05101	0.01152	0.10269	0.591	0.182	0.308	0.053	0.947	2	36
0.04174	0.00735	0.10155	0.483	0.182	0.376	0.043	0.957	2	44
0.02818	0.00683	0.08689	0.000	0.000	0.325	0.000	1.000	0	38
0.02557	0.00662	0.08076	0.000	0.000	0.333	0.000	1.000	0	39
0.02412	0.00662	0.07319	0.000	0.000	0.325	0.000	1.000	0	38
0.02232	0.00488	0.06547	0.000	0.000	0.325	0.000	1.000	0	38
0.02072	0.00459	0.06280	0.000	0.000	0.325	0.000	1.000	0	38
0.01918	0.00434	0.06182	0.000	0.000	0.325	0.000	1.000	0	38
0.01766	0.00416	0.05834	0.000	0.000	0.325	0.000	1.000	0	38
0.01621	0.00329	0.04728	0.000	0.000	0.325	0.000	1.000	0	38
0.01504	0.00266	0.04053	0.000	0.000	0.325	0.000	1.000	0	38
0.01373	0.00229	0.03979	0.000	0.000	0.333	0.000	1.000	0	39
0.01305	0.00229	0.03450	0.000	0.000	0.325	0.000	1.000	0	38
0.01193	0.00190	0.03072	0.000	0.000	0.333	0.000	1.000	0	39
0.01143	0.00190	0.02840	0.000	0.000	0.325	0.000	1.000	0	38
0.01008	0.00174	0.02811	0.000	0.000	0.350	0.000	1.000	0	41
0.00963	0.00174	0.02525	0.000	0.000	0.342	0.000	1.000	0	40
0.00922	0.00174	0.02471	0.000	0.000	0.333	0.000	1.000	0	39
0.00882	0.00174	0.02333	0.000	0.000	0.325	0.000	1.000	0	38
0.00824	0.00158	0.02064	0.000	0.000	0.325	0.000	1.000	0	38
0.00758	0.00143	0.01943	0.000	0.000	0.333	0.000	1.000	0	39
0.00727	0.00143	0.01714	0.000	0.000	0.325	0.000	1.000	0	38
0.00671	0.00125	0.01545	0.000	0.000	0.333	0.000	1.000	0	39
0.00648	0.00125	0.01464	0.000	0.000	0.325	0.000	1.000	0	38
0.00587	0.00105	0.01436	0.000	0.000	0.342	0.000	1.000	0	40
0.00565	0.00105	0.01426	0.000	0.000	0.333	0.000	1.000	0	39
0.00531	0.00097	0.01415	0.000	0.000	0.333	0.000	1.000	0	39
0.00497	0.00088	0.01335	0.000	0.000	0.333	0.000	1.000	0	39
0.00429	0.00080	0.01274	0.000	0.000	0.368	0.000	1.000	0	43
0.00409	0.00080	0.01152	0.000	0.000	0.359	0.000	1.000	0	42
0.00376	0.00074	0.01060	0.000	0.000	0.368	0.000	1.000	0	43
0.00376	0.00074	0.01060	0.000	0.000	0.368	0.000	1.000	0	43
0.00343	0.00074	0.01033	0.000	0.000	0.350	0.000	1.000	0	41
0.00326	0.00074	0.01017	0.000	0.000	0.342	0.000	1.000	0	40
0.00326	0.00074	0.01017	0.000	0.000	0.342	0.000	1.000	0	40
0.00289	0.00074	0.00992	0.000	0.000	0.325	0.000	1.000	0	38
0.00248	0.00043	0.00800	0.000	0.000	0.350	0.000	1.000	0	41
0.00230	0.00041	0.00736	0.000	0.000	0.350	0.000	1.000	0	41
0.00230	0.00041	0.00736	0.000	0.000	0.350	0.000	1.000	0	41
0.00200	0.00033	0.00683	0.000	0.000	0.342	0.000	1.000	0	40
0.00187	0.00033	0.00664	0.000	0.000	0.333	0.000	1.000	0	39
0.00183	0.00028	0.00664	0.000	0.000	0.342	0.000	1.000	0	40
0.00158	0.00028	0.00488	0.000	0.000	0.325	0.000	1.000	0	38
0.00146	0.00015	0.00459	0.000	0.000	0.325	0.000	1.000	0	38
