Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.13083	0.03032	0.18181	2.028	0.775	0.382	0.127	0.873	31	214
0.05830	0.02393	0.13207	1.815	0.350	0.193	0.115	0.885	14	108
0.04203	0.02364	0.08387	1.667	0.250	0.150	0.106	0.894	10	84
0.04027	0.02260	0.08332	1.556	0.250	0.161	0.100	0.900	10	90
0.03758	0.02219	0.06734	1.302	0.200	0.154	0.085	0.915	8	86
0.03710	0.02202	0.06441	1.302	0.200	0.154	0.085	0.915	8	86
0.03665	0.02191	0.06419	1.302	0.200	0.154	0.085	0.915	8	86
0.03444	0.01968	0.06386	1.143	0.200	0.175	0.075	0.925	8	98
0.03106	0.01929	0.05151	1.126	0.175	0.155	0.074	0.926	7	87
0.03059	0.01906	0.05128	1.114	0.175	0.157	0.074	0.926	7	88
0.03025	0.01902	0.05113	1.114	0.175	0.157	0.074	0.926	7	88
0.03003	0.01902	0.05099	0.955	0.150	0.157	0.064	0.936	6	88
0.02946	0.01859	0.05070	0.933	0.150	0.161	0.062	0.938	6	90
0.02846	0.01805	0.04795	0.933	0.150	0.161	0.062	0.938	6	90
0.02785	0.01789	0.04581	0.933	0.150	0.161	0.062	0.938	6	90
0.02747	0.01789	0.04483	0.787	0.125	0.159	0.053	0.947	5	89
0.02708	0.01731	0.04368	0.778	0.125	0.161	0.053	0.947	5	90
0.02660	0.01721	0.04307	0.761	0.125	0.164	0.052	0.948	5	92
0.02615	0.01712	0.04237	0.745	0.125	0.168	0.051	0.949	5	94
0.02565	0.01712	0.04176	0.609	0.100	0.164	0.042	0.958	4	92
0.02539	0.01692	0.04146	0.609	0.100	0.164	0.042	0.958	4	92
0.02492	0.01670	0.03670	0.609	0.100	0.164	0.042	0.958	4	92
0.02462	0.01642	0.03664	0.447	0.075	0.168	0.031	0.969	3	94
0.01180	0.00435	0.03623	0.409	0.250	0.611	0.028	0.972	10	342
0.00481	0.00435	0.00681	0.371	0.100	0.270	0.026	0.974	4	151
0.00476	0.00434	0.00674	0.366	0.100	0.273	0.025	0.975	4	153
0.00474	0.00433	0.00674	0.354	0.100	0.282	0.025	0.975	4	158
0.00468	0.00432	0.00654	0.348	0.100	0.287	0.024	0.976	4	161
