Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.29645	0.23582	0.39546	21.396	0.226	0.011	0.779	0.221	134	38
0.29196	0.22933	0.39546	20.658	0.241	0.012	0.773	0.227	143	42
0.28510	0.22867	0.39513	19.214	0.224	0.012	0.760	0.240	133	42
0.27101	0.18787	0.39491	18.688	0.260	0.014	0.755	0.245	154	50
0.25335	0.18598	0.30531	18.202	0.218	0.012	0.750	0.250	129	43
0.25224	0.18383	0.30466	17.259	0.216	0.013	0.740	0.260	128	45
0.25194	0.18383	0.30425	17.124	0.214	0.013	0.738	0.262	127	45
0.25083	0.18269	0.30319	16.266	0.212	0.013	0.728	0.272	126	47
0.25053	0.18269	0.30171	16.137	0.211	0.013	0.727	0.273	125	47
0.23572	0.18171	0.29501	11.488	0.239	0.021	0.654	0.346	142	75
0.23544	0.18171	0.29460	11.407	0.238	0.021	0.653	0.347	141	75
0.23517	0.18171	0.29242	11.326	0.236	0.021	0.651	0.349	140	75
0.23517	0.18171	0.29242	11.326	0.236	0.021	0.651	0.349	140	75
0.23463	0.18171	0.29076	11.164	0.233	0.021	0.648	0.352	138	75
0.23286	0.18169	0.28954	10.795	0.231	0.021	0.640	0.360	137	77
0.23100	0.18169	0.28520	10.679	0.223	0.021	0.638	0.362	132	75
0.23073	0.18169	0.28493	10.598	0.221	0.021	0.636	0.364	131	75
0.23047	0.18169	0.28442	10.517	0.219	0.021	0.634	0.366	130	75
0.23020	0.18169	0.28350	10.436	0.218	0.021	0.632	0.368	129	75
0.22994	0.18169	0.28273	10.355	0.216	0.021	0.631	0.369	128	75
0.22915	0.18169	0.28227	10.331	0.212	0.021	0.630	0.370	126	74
0.22750	0.18165	0.28199	9.879	0.214	0.022	0.620	0.380	127	78
0.22456	0.18165	0.27537	9.839	0.202	0.021	0.619	0.381	120	74
0.22343	0.18163	0.27524	9.660	0.204	0.021	0.614	0.386	121	76
0.22316	0.18163	0.27468	9.580	0.202	0.021	0.612	0.388	120	76
0.22316	0.18163	0.27468	9.580	0.202	0.021	0.612	0.388	120	76
0.22263	0.18163	0.27426	9.421	0.199	0.021	0.608	0.392	118	76
0.22195	0.18163	0.27415	9.298	0.199	0.021	0.605	0.395	118	77
0.22195	0.18163	0.27415	9.298	0.199	0.021	0.605	0.395	118	77
0.22140	0.18163	0.27300	9.141	0.196	0.021	0.601	0.399	116	77
0.22019	0.18160	0.27081	9.062	0.194	0.021	0.599	0.401	115	77
0.21887	0.18160	0.26881	9.061	0.189	0.021	0.599	0.401	112	75
0.21697	0.18145	0.26881	8.689	0.196	0.023	0.589	0.411	116	81
0.21345	0.18142	0.25859	8.525	0.187	0.022	0.584	0.416	111	79
0.21345	0.18142	0.25859	8.525	0.187	0.022	0.584	0.416	111	79
0.21311	0.18140	0.25859	8.315	0.187	0.023	0.578	0.422	111	81
0.21311	0.18140	0.25859	8.315	0.187	0.023	0.578	0.422	111	81
0.21311	0.18140	0.25859	8.315	0.187	0.023	0.578	0.422	111	81
0.21311	0.18140	0.25859	8.315	0.187	0.023	0.578	0.422	111	81
0.21311	0.18140	0.25859	8.315	0.187	0.023	0.578	0.422	111	81
0.21215	0.18140	0.25857	8.015	0.180	0.023	0.569	0.431	107	81
0.21215	0.18140	0.25857	8.015	0.180	0.023	0.569	0.431	107	81
0.21062	0.18140	0.25852	7.566	0.170	0.023	0.555	0.445	101	81
0.21062	0.18140	0.25852	7.566	0.170	0.023	0.555	0.445	101	81
0.21062	0.18140	0.25852	7.566	0.170	0.023	0.555	0.445	101	81
0.20664	0.18120	0.25822	6.872	0.159	0.023	0.531	0.469	94	83
0.20664	0.18120	0.25822	6.872	0.159	0.023	0.531	0.469	94	83
0.20528	0.18113	0.25822	6.401	0.162	0.025	0.513	0.487	96	91
0.20528	0.18113	0.25822	6.401	0.162	0.025	0.513	0.487	96	91
0.20413	0.18113	0.25811	6.134	0.155	0.025	0.503	0.497	92	91
0.20413	0.18113	0.25811	6.134	0.155	0.025	0.503	0.497	92	91
0.20413	0.18113	0.25811	6.134	0.155	0.025	0.503	0.497	92	91
0.20413	0.18113	0.25811	6.134	0.155	0.025	0.503	0.497	92	91
0.20413	0.18113	0.25811	6.134	0.155	0.025	0.503	0.497	92	91
0.20261	0.18113	0.25739	6.067	0.150	0.025	0.500	0.500	89	89
0.20261	0.18113	0.25739	6.067	0.150	0.025	0.500	0.500	89	89
0.20261	0.18113	0.25739	6.067	0.150	0.025	0.500	0.500	89	89
0.20261	0.18113	0.25739	6.067	0.150	0.025	0.500	0.500	89	89
0.20261	0.18113	0.25739	6.067	0.150	0.025	0.500	0.500	89	89
0.20261	0.18113	0.25739	6.067	0.150	0.025	0.500	0.500	89	89
0.20070	0.18113	0.25694	5.928	0.143	0.024	0.494	0.506	85	87
0.19993	0.18094	0.25674	5.863	0.145	0.025	0.491	0.509	86	89
0.19993	0.18094	0.25674	5.863	0.145	0.025	0.491	0.509	86	89
0.19865	0.18051	0.25557	5.738	0.147	0.026	0.486	0.514	87	92
0.19642	0.18051	0.24954	5.658	0.140	0.025	0.483	0.517	83	89
0.19593	0.18033	0.24831	5.467	0.138	0.025	0.474	0.526	82	91
0.19562	0.18033	0.24778	5.401	0.137	0.025	0.471	0.529	81	91
