Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
0.00000	0.00000	0.00000	1.000	1.000	1.000	0.155	0.845	59	322
