Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.18446	0.16689	0.22798	3.429	1.000	0.292	0.364	0.636	8	14
0.18154	0.16689	0.19725	3.231	0.875	0.271	0.350	0.650	7	13
0.18078	0.16547	0.19725	3.000	0.875	0.292	0.333	0.667	7	14
0.18006	0.16490	0.19725	2.800	0.875	0.312	0.318	0.682	7	15
0.17562	0.16447	0.19032	1.125	0.375	0.333	0.158	0.842	3	16
0.17371	0.16046	0.19032	0.947	0.375	0.396	0.136	0.864	3	19
0.16832	0.15721	0.17897	0.632	0.250	0.396	0.095	0.905	2	19
0.16621	0.15506	0.17723	0.571	0.250	0.438	0.087	0.913	2	21
0.16264	0.15199	0.17350	0.333	0.125	0.375	0.053	0.947	1	18
0.16148	0.15136	0.17108	0.000	0.000	0.396	0.000	1.000	0	19
0.16042	0.15109	0.17056	0.000	0.000	0.396	0.000	1.000	0	19
0.15941	0.14974	0.17056	0.000	0.000	0.438	0.000	1.000	0	21
0.15823	0.14974	0.16689	0.000	0.000	0.396	0.000	1.000	0	19
0.15778	0.14914	0.16689	0.000	0.000	0.417	0.000	1.000	0	20
0.15515	0.14063	0.16547	0.000	0.000	0.417	0.000	1.000	0	20
0.15461	0.14063	0.16490	0.000	0.000	0.396	0.000	1.000	0	19
0.15327	0.13956	0.16447	0.000	0.000	0.396	0.000	1.000	0	19
0.15190	0.13844	0.16346	0.000	0.000	0.396	0.000	1.000	0	19
0.15053	0.13733	0.16092	0.000	0.000	0.396	0.000	1.000	0	19
0.14904	0.13259	0.16046	0.000	0.000	0.396	0.000	1.000	0	19
0.14745	0.13026	0.15747	0.000	0.000	0.396	0.000	1.000	0	19
0.14623	0.12320	0.15747	0.000	0.000	0.417	0.000	1.000	0	20
0.14375	0.12138	0.15721	0.000	0.000	0.396	0.000	1.000	0	19
0.14141	0.11272	0.15682	0.000	0.000	0.396	0.000	1.000	0	19
0.13893	0.10975	0.15506	0.000	0.000	0.396	0.000	1.000	0	19
0.13731	0.10648	0.15506	0.000	0.000	0.417	0.000	1.000	0	20
0.13282	0.08747	0.15199	0.000	0.000	0.396	0.000	1.000	0	19
0.12929	0.08510	0.15136	0.000	0.000	0.396	0.000	1.000	0	19
0.12542	0.07783	0.15109	0.000	0.000	0.396	0.000	1.000	0	19
0.12129	0.07262	0.14974	0.000	0.000	0.396	0.000	1.000	0	19
