Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.20448	0.20189	0.21898	3.692	0.889	0.241	0.381	0.619	8	13
0.20298	0.18765	0.20869	3.692	0.889	0.241	0.381	0.619	8	13
0.20159	0.17949	0.20558	3.692	0.889	0.241	0.381	0.619	8	13
0.19939	0.17932	0.20394	3.429	0.889	0.259	0.364	0.636	8	14
0.19939	0.17932	0.20394	3.429	0.889	0.259	0.364	0.636	8	14
0.19842	0.17715	0.20394	3.200	0.889	0.278	0.348	0.652	8	15
0.19726	0.17045	0.20394	3.000	0.889	0.296	0.333	0.667	8	16
0.19613	0.16920	0.20394	2.824	0.889	0.315	0.320	0.680	8	17
0.19507	0.16859	0.20394	2.667	0.889	0.333	0.308	0.692	8	18
0.19403	0.16680	0.20394	2.526	0.889	0.352	0.296	0.704	8	19
0.18906	0.15504	0.20394	2.348	1.000	0.426	0.281	0.719	9	23
0.18000	0.15330	0.20273	1.333	0.444	0.333	0.182	0.818	4	18
0.17866	0.14933	0.20273	1.263	0.444	0.352	0.174	0.826	4	19
0.17742	0.14872	0.20273	1.200	0.444	0.370	0.167	0.833	4	20
0.17510	0.14725	0.20273	1.091	0.444	0.407	0.154	0.846	4	22
0.14711	0.09468	0.20189	0.167	0.111	0.667	0.027	0.973	1	36
0.12324	0.09141	0.14933	0.000	0.000	0.389	0.000	1.000	0	21
0.12017	0.08483	0.14872	0.000	0.000	0.389	0.000	1.000	0	21
0.11706	0.08337	0.14725	0.000	0.000	0.389	0.000	1.000	0	21
0.11499	0.07154	0.14725	0.000	0.000	0.407	0.000	1.000	0	22
0.10974	0.06928	0.13226	0.000	0.000	0.389	0.000	1.000	0	21
0.10781	0.06717	0.13226	0.000	0.000	0.407	0.000	1.000	0	22
0.10572	0.05986	0.13226	0.000	0.000	0.426	0.000	1.000	0	23
