Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.17158	0.16173	0.19386	3.208	0.545	0.170	0.364	0.636	24	42
0.16699	0.16173	0.17345	2.477	0.341	0.138	0.306	0.694	15	34
0.16699	0.16173	0.17345	2.477	0.341	0.138	0.306	0.694	15	34
0.16304	0.15384	0.17085	1.911	0.364	0.190	0.254	0.746	16	47
0.16059	0.15141	0.16600	0.802	0.159	0.198	0.125	0.875	7	49
0.16059	0.15141	0.16600	0.802	0.159	0.198	0.125	0.875	7	49
0.16059	0.15141	0.16600	0.802	0.159	0.198	0.125	0.875	7	49
0.16059	0.15141	0.16600	0.802	0.159	0.198	0.125	0.875	7	49
0.16059	0.15141	0.16600	0.802	0.159	0.198	0.125	0.875	7	49
0.16059	0.15141	0.16600	0.802	0.159	0.198	0.125	0.875	7	49
0.15989	0.14677	0.16600	0.756	0.159	0.211	0.119	0.881	7	52
0.15989	0.14677	0.16600	0.756	0.159	0.211	0.119	0.881	7	52
0.13976	0.10915	0.16600	0.697	0.455	0.652	0.110	0.890	20	161
0.11802	0.10878	0.12817	0.624	0.136	0.219	0.100	0.900	6	54
0.11802	0.10878	0.12817	0.624	0.136	0.219	0.100	0.900	6	54
0.11802	0.10878	0.12817	0.624	0.136	0.219	0.100	0.900	6	54
0.11802	0.10878	0.12817	0.624	0.136	0.219	0.100	0.900	6	54
0.11769	0.10740	0.12817	0.601	0.136	0.227	0.097	0.903	6	56
0.11281	0.10705	0.12152	0.561	0.091	0.162	0.091	0.909	4	40
0.11281	0.10705	0.12152	0.561	0.091	0.162	0.091	0.909	4	40
0.11247	0.10495	0.12152	0.535	0.091	0.170	0.087	0.913	4	42
0.11247	0.10495	0.12152	0.535	0.091	0.170	0.087	0.913	4	42
0.11214	0.10445	0.12152	0.510	0.091	0.178	0.083	0.917	4	44
0.11105	0.10445	0.11884	0.274	0.045	0.166	0.047	0.953	2	41
0.11089	0.10414	0.11884	0.267	0.045	0.170	0.045	0.955	2	42
0.09525	0.06175	0.11884	0.236	0.091	0.385	0.040	0.960	4	95
