Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.17839	0.14818	0.22407	1.773	1.000	0.564	0.143	0.857	11	66
0.16763	0.14818	0.17733	1.297	0.455	0.350	0.109	0.891	5	41
0.15600	0.12008	0.17733	0.794	0.455	0.573	0.069	0.931	5	67
0.13996	0.11943	0.15895	0.000	0.000	0.325	0.000	1.000	0	38
0.13731	0.11753	0.15837	0.000	0.000	0.350	0.000	1.000	0	41
0.13678	0.11753	0.15579	0.000	0.000	0.342	0.000	1.000	0	40
0.13630	0.11753	0.15419	0.000	0.000	0.333	0.000	1.000	0	39
0.13630	0.11753	0.15419	0.000	0.000	0.333	0.000	1.000	0	39
0.13471	0.11191	0.15237	0.000	0.000	0.325	0.000	1.000	0	38
0.13350	0.10635	0.15094	0.000	0.000	0.325	0.000	1.000	0	38
0.13227	0.10401	0.14900	0.000	0.000	0.325	0.000	1.000	0	38
0.13103	0.10193	0.14818	0.000	0.000	0.325	0.000	1.000	0	38
0.13027	0.10144	0.14818	0.000	0.000	0.333	0.000	1.000	0	39
0.12882	0.10051	0.14818	0.000	0.000	0.350	0.000	1.000	0	41
0.12729	0.10051	0.14660	0.000	0.000	0.325	0.000	1.000	0	38
0.12456	0.09741	0.14383	0.000	0.000	0.342	0.000	1.000	0	40
0.12407	0.09741	0.14298	0.000	0.000	0.333	0.000	1.000	0	39
0.12357	0.09741	0.14175	0.000	0.000	0.325	0.000	1.000	0	38
0.12169	0.08587	0.14175	0.000	0.000	0.342	0.000	1.000	0	40
0.12063	0.08587	0.14107	0.000	0.000	0.325	0.000	1.000	0	38
0.11917	0.08530	0.14041	0.000	0.000	0.325	0.000	1.000	0	38
0.11769	0.08441	0.13914	0.000	0.000	0.325	0.000	1.000	0	38
0.11622	0.08322	0.13882	0.000	0.000	0.325	0.000	1.000	0	38
0.11472	0.08164	0.13697	0.000	0.000	0.325	0.000	1.000	0	38
0.11378	0.07836	0.13697	0.000	0.000	0.333	0.000	1.000	0	39
0.11148	0.07277	0.13651	0.000	0.000	0.325	0.000	1.000	0	38
0.10869	0.06943	0.13624	0.000	0.000	0.333	0.000	1.000	0	39
0.10796	0.06943	0.13611	0.000	0.000	0.325	0.000	1.000	0	38
