Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.22554	0.18555	0.34165	5.909	1.000	0.169	0.500	0.500	11	11
0.22366	0.18248	0.34165	5.417	1.000	0.185	0.478	0.522	11	12
0.21084	0.17759	0.24898	4.091	0.818	0.200	0.409	0.591	9	13
0.20938	0.17724	0.24898	3.799	0.818	0.215	0.391	0.609	9	14
0.20803	0.17687	0.24898	3.545	0.818	0.231	0.375	0.625	9	15
0.20537	0.17344	0.24898	3.128	0.818	0.262	0.346	0.654	9	17
0.19744	0.17344	0.23669	1.738	0.455	0.262	0.227	0.773	5	17
0.19230	0.16939	0.21802	1.182	0.364	0.308	0.167	0.833	4	20
0.19118	0.16939	0.21532	0.886	0.273	0.308	0.130	0.870	3	20
0.19118	0.16939	0.21532	0.886	0.273	0.308	0.130	0.870	3	20
0.18681	0.16558	0.21532	0.709	0.273	0.385	0.107	0.893	3	25
0.17674	0.16365	0.20753	0.000	0.000	0.354	0.000	1.000	0	23
0.17534	0.16365	0.19711	0.000	0.000	0.338	0.000	1.000	0	22
0.17326	0.16238	0.18647	0.000	0.000	0.354	0.000	1.000	0	23
0.17326	0.16238	0.18647	0.000	0.000	0.354	0.000	1.000	0	23
0.17140	0.15872	0.18629	0.000	0.000	0.338	0.000	1.000	0	22
0.17014	0.15855	0.18555	0.000	0.000	0.338	0.000	1.000	0	22
0.16962	0.15824	0.18555	0.000	0.000	0.354	0.000	1.000	0	23
0.16536	0.14611	0.18248	0.000	0.000	0.369	0.000	1.000	0	24
0.16461	0.14611	0.17759	0.000	0.000	0.354	0.000	1.000	0	23
0.16402	0.14611	0.17724	0.000	0.000	0.338	0.000	1.000	0	22
0.16184	0.14555	0.17687	0.000	0.000	0.354	0.000	1.000	0	23
0.16116	0.14555	0.17344	0.000	0.000	0.338	0.000	1.000	0	22
0.16044	0.14460	0.17344	0.000	0.000	0.354	0.000	1.000	0	23
0.15838	0.14114	0.16939	0.000	0.000	0.338	0.000	1.000	0	22
0.15762	0.14098	0.16939	0.000	0.000	0.354	0.000	1.000	0	23
0.15684	0.13891	0.16939	0.000	0.000	0.369	0.000	1.000	0	24
0.15429	0.13822	0.16812	0.000	0.000	0.338	0.000	1.000	0	22
0.15351	0.13643	0.16812	0.000	0.000	0.354	0.000	1.000	0	23
0.15137	0.13570	0.16586	0.000	0.000	0.338	0.000	1.000	0	22
0.15066	0.13490	0.16586	0.000	0.000	0.354	0.000	1.000	0	23
0.14736	0.13443	0.16558	0.000	0.000	0.369	0.000	1.000	0	24
0.14657	0.13443	0.16365	0.000	0.000	0.354	0.000	1.000	0	23
0.14657	0.13443	0.16365	0.000	0.000	0.354	0.000	1.000	0	23
0.14403	0.12476	0.16238	0.000	0.000	0.338	0.000	1.000	0	22
0.14304	0.12134	0.16238	0.000	0.000	0.354	0.000	1.000	0	23
0.13899	0.11579	0.15872	0.000	0.000	0.354	0.000	1.000	0	23
0.13810	0.11579	0.15855	0.000	0.000	0.338	0.000	1.000	0	22
0.13348	0.10800	0.15824	0.000	0.000	0.369	0.000	1.000	0	24
0.13241	0.10800	0.14611	0.000	0.000	0.354	0.000	1.000	0	23
0.13241	0.10800	0.14611	0.000	0.000	0.354	0.000	1.000	0	23
0.13126	0.10496	0.14611	0.000	0.000	0.369	0.000	1.000	0	24
0.12791	0.10209	0.14555	0.000	0.000	0.338	0.000	1.000	0	22
0.12643	0.09390	0.14555	0.000	0.000	0.354	0.000	1.000	0	23
0.12312	0.09189	0.14460	0.000	0.000	0.338	0.000	1.000	0	22
0.12065	0.09019	0.14114	0.000	0.000	0.338	0.000	1.000	0	22
0.11828	0.08897	0.14098	0.000	0.000	0.338	0.000	1.000	0	22
0.11580	0.08646	0.13891	0.000	0.000	0.338	0.000	1.000	0	22
0.11326	0.08305	0.13822	0.000	0.000	0.338	0.000	1.000	0	22
0.11074	0.08264	0.13643	0.000	0.000	0.338	0.000	1.000	0	22
0.10800	0.07622	0.13570	0.000	0.000	0.338	0.000	1.000	0	22
